recording_id,audio_path,duration_seconds,total_words,problem_word_count,problem_word_ratio,mean_word_confidence,std_word_confidence,min_word_confidence,max_word_confidence,median_word_confidence,pct_words_below_50,pct_words_below_60,pct_words_below_70,pct_words_below_80,pct_words_below_90,mean_pronunciation_score,std_pronunciation_score,min_pronunciation_score,words_per_minute,mean_word_duration_ms,std_word_duration_ms,total_issues,unique_issue_types,human_score,human_label,title,oratory_score
1,test_speeches/mlk_dream_climax.mp3,256.18,521,24,0.046065259117082535,0.9558888671494262,0.150986982077483,0.0003104209899902344,1.0,0.9990234375,0.0345489443378119,0.046065259117082535,0.053742802303262956,0.06525911708253358,0.08637236084452975,0.9558888671494262,0.150986982077483,0.0003104209899902344,122.0235771723007,404.6449136276393,307.68892518487326,0,0,48.3,,I Have a Dream (climax),48.3
2,test_speeches/mlk_mountaintop_climax.mp3,286.26,551,38,0.06896551724137931,0.9248692525276904,0.19642254082645333,1.6391277313232422e-05,1.0,0.99609375,0.05263157894736842,0.06896551724137931,0.08166969147005444,0.10526315789473684,0.14156079854809436,0.9248692525276904,0.19642254082645333,1.6391277313232422e-05,115.48941521693565,382.6497277676947,358.0014382086387,0,0,27.8,,I've Been to the Mountaintop (climax),27.8
3,test_speeches/cuomo_1984_opening.mp3,177.86,373,9,0.024128686327077747,0.9663348909570663,0.12968650882465918,0.00559234619140625,1.0,0.9990234375,0.01876675603217158,0.024128686327077747,0.032171581769437,0.05361930294906166,0.07238605898123325,0.9663348909570663,0.12968650882465918,0.00559234619140625,125.82930394692454,352.4932975871312,227.5913111585393,0,0,18.9,,1984 DNC Keynote Address (opening),18.9
6,test_speeches/jfk_inaugural_clip.mp3,179.98,308,13,0.04220779220779221,0.9462956651980743,0.16356052063124543,0.00040602684020996094,1.0,0.99853515625,0.03571428571428571,0.04220779220779221,0.05519480519480519,0.07467532467532467,0.11688311688311688,0.9462956651980743,0.16356052063124543,0.00040602684020996094,102.67807534170464,481.94805194805184,410.65844802921526,0,0,49.3,,Inaugural Address (opening),49.3
7,test_speeches/fdr_war_declaration_clip.mp3,179.98,232,20,0.08620689655172414,0.9151079292441237,0.24622388209027202,5.900859832763672e-06,1.0,0.99951171875,0.08189655172413793,0.08620689655172414,0.09482758620689655,0.09913793103448276,0.1206896551724138,0.9151079292441237,0.24622388209027202,5.900859832763672e-06,77.34192688076453,558.9655172413791,403.153259363083,0,0,13.2,,Declaration of War Against Japan (opening),13.2
8,test_speeches/churchill_pm_clip.mp3,178.9,422,94,0.22274881516587677,0.7798990008625751,0.37935399832362104,4.589557647705078e-06,1.0,0.99658203125,0.2156398104265403,0.22274881516587677,0.22748815165876776,0.24644549763033174,0.2796208530805687,0.7798990008625751,0.37935399832362104,4.589557647705078e-06,141.53158188932366,362.8436018957345,418.466472742769,0,0,21.4,,First Radio Address as Prime Minister (opening),21.4
10,test_speeches/stokely_black_power_clip.mp3,75.38,191,8,0.041884816753926704,0.9440713053598454,0.1527651910417793,0.003662109375,1.0,0.99609375,0.041884816753926704,0.041884816753926704,0.06806282722513089,0.08900523560209424,0.11518324607329843,0.9440713053598454,0.1527651910417793,0.003662109375,152.02971610506768,347.53926701570686,315.7268971579573,0,0,20.5,,On Black Power,20.5
11,test_speeches/nixon_checkers_clip.mp3,179.98,478,36,0.07531380753138076,0.9333481798818754,0.20710489656042322,7.957220077514648e-05,1.0,0.999267578125,0.058577405857740586,0.07531380753138076,0.08368200836820083,0.0899581589958159,0.10460251046025104,0.9333481798818754,0.20710489656042322,7.957220077514648e-05,159.3510390043338,323.93305439330544,226.12899389091737,0,0,24.3,,Checkers Speech (opening),24.3
12,test_speeches/reagan_inaugural_clip.mp3,145.24,300,14,0.04666666666666667,0.9419431735740769,0.1951277853371188,0.0008063316345214844,1.0,0.998046875,0.043333333333333335,0.04666666666666667,0.06333333333333334,0.07333333333333333,0.08666666666666667,0.9419431735740769,0.1951277853371188,0.0008063316345214844,123.93280088129991,385.3999999999997,238.4131707771204,0,0,22.2,,Inaugural Address,22.2
13,test_speeches/reagan_berlin_wall_clip.mp3,115.8,303,12,0.039603960396039604,0.9614311444877398,0.14066094521916356,0.0030059814453125,1.0,0.9990234375,0.0297029702970297,0.039603960396039604,0.052805280528052806,0.056105610561056105,0.07260726072607261,0.9614311444877398,0.14066094521916356,0.0030059814453125,156.99481865284974,326.0066006600661,168.25122645602352,0,0,27.4,,Address on the Berlin Wall,27.4
14,test_speeches/steve_jobs_clip.mp3,179.02,422,12,0.02843601895734597,0.9726006024256701,0.12640067021855178,0.01361846923828125,1.0,0.99951171875,0.018957345971563982,0.02843601895734597,0.035545023696682464,0.04265402843601896,0.04265402843601896,0.9726006024256701,0.12640067021855178,0.01361846923828125,141.43671098201315,282.32227488151636,164.34073500369476,0,0,41.6,,Stanford Commencement (opening),41.6
15,test_speeches/steve_jobs_mid_clip.mp3,179.98,480,30,0.0625,0.9350104758308995,0.2008617627269605,0.00013172626495361328,1.0,0.99951171875,0.058333333333333334,0.0625,0.07291666666666667,0.09375,0.1125,0.9350104758308995,0.2008617627269605,0.00013172626495361328,160.01777975330592,275.04166666666674,170.27795393773712,0,0,37.6,,Stanford Commencement (connecting the dots),37.6
18,test_speeches/carl_sagan_commencement_clip.mp3,179.96,317,17,0.05362776025236593,0.9444695924860194,0.18055184550130296,6.300210952758789e-05,1.0,0.99853515625,0.0473186119873817,0.05362776025236593,0.056782334384858045,0.06624605678233439,0.0946372239747634,0.9444695924860194,0.18055184550130296,6.300210952758789e-05,105.69015336741498,424.6687697160883,307.68234172524075,0,0,29.9,,Commencement Address (1990),29.9
20,test_speeches/bahnsen_debate_clip.mp3,172.66,565,12,0.021238938053097345,0.9676130986846654,0.11051628181874212,0.0235443115234375,1.0,0.9990234375,0.01415929203539823,0.021238938053097345,0.033628318584070796,0.04601769911504425,0.07964601769911504,0.9676130986846654,0.11051628181874212,0.0235443115234375,196.33962701262598,265.4867256637169,206.01997991621332,0,0,28.6,,The Great Debate: Does God Exist? (Opening Argument),28.6
